,rat_id,subject_id,generation,genes,fitness_score
0,6ad9bffd-c504-4da8-9352-8860d043c3ae,subject9,1,"['MP:0000923', 'MP:0000085', 'MP:0002638', 'MP:0000097', 'MP:0001713', 'MP:0000410', 'MP:0000410', 'MP:0000923', 'MP:0000021', 'MP:0004738']",-38
1,58a1c47f-91ba-42ad-8b78-f9406f7310ad,subject9,1,"['MP:0000376', 'MP:0000091', 'MP:0001713', 'MP:0000091', 'MP:0000410', 'MP:0002638', 'MP:0002638', 'MP:0000097', 'MP:0000410', 'MP:0000085']",-24
2,2a9cbe54-f77f-4812-8c15-0d489f9aa4f5,subject9,1,"['MP:0000088', 'MP:0000410', 'MP:0000923', 'MP:0002276', 'MP:0000085', 'MP:0000091', 'MP:0000091', 'MP:0000376', 'MP:0000085', 'MP:0000376']",-27
3,7dfb7846-ffa8-41bc-aadc-e1519f662993,subject9,2,"['MP:0000085', 'MP:0000410', 'MP:0000410', 'MP:0001713', 'MP:0000410', 'MP:0002276', 'MP:0000376', 'MP:0000091', 'MP:0000376', 'MP:0000091']",-32
4,af622c6a-952f-492d-bb23-d1dfe79263e3,subject9,2,"['MP:0000085', 'MP:0002638', 'MP:0002638', 'MP:0002638', 'MP:0000410', 'MP:0000410', 'MP:0000376', 'MP:0000085', 'MP:0000091', 'MP:0000091']",-24
5,c818987c-efd8-4be4-a47d-ca4344df27e9,subject9,2,"['MP:0000021', 'MP:0000085', 'MP:0004738', 'MP:0000021', 'MP:0000097', 'MP:0000097', 'MP:0000091', 'MP:0000376', 'MP:0001713', 'MP:0002638']",-30
6,33e4bf6d-7daa-459d-9e59-4cf4aaab8f21,subject9,3,"['MP:0002276', 'MP:0002276', 'MP:0000091', 'MP:0000376', 'MP:0000410', 'MP:0002276', 'MP:0001713', 'MP:0000410', 'MP:0000410', 'MP:0000376']",-30
7,b4ac517e-6fb1-43ba-89ed-d9b3eb11b060,subject9,3,"['MP:0000097', 'MP:0004738', 'MP:0000097', 'MP:0001713', 'MP:0000021', 'MP:0000091', 'MP:0000091', 'MP:0000410', 'MP:0000410', 'MP:0000091']",-30
8,728dfc8e-5b18-4e8e-9e1a-fc72d13c9dc2,subject9,3,"['MP:0000410', 'MP:0000091', 'MP:0000376', 'MP:0000085', 'MP:0000410', 'MP:0000376', 'MP:0000410', 'MP:0000091', 'MP:0000410', 'MP:0002638']",-30
9,ecc18a2f-4ec9-4777-9391-895eff6b8efd,subject9,4,"['MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000410', 'MP:0000091', 'MP:0000376', 'MP:0002276', 'MP:0001713', 'MP:0000376', 'MP:0002276']",-16
10,685c85a5-2dcb-43f3-8f68-6abfe66bc346,subject9,4,"['MP:0000376', 'MP:0002276', 'MP:0000376', 'MP:0000091', 'MP:0000091', 'MP:0000410', 'MP:0001713', 'MP:0000410', 'MP:0000097', 'MP:0000091']",-20
11,20cee41e-44a6-457a-84ca-40583581657e,subject9,4,"['MP:0000376', 'MP:0000376', 'MP:0000376', 'MP:0000376', 'MP:0002276', 'MP:0000410', 'MP:0002276', 'MP:0000410', 'MP:0001713', 'MP:0002276']",-24
12,f8c7f7e1-64c3-4a13-90ca-5991c7046bc9,subject9,5,"['MP:0002276', 'MP:0000376', 'MP:0000376', 'MP:0000376', 'MP:0000376', 'MP:0002276', 'MP:0001713', 'MP:0000376', 'MP:0000091', 'MP:0002276']",-12
13,aaa26814-e518-41e2-b94c-f3d901aa4ea9,subject9,5,"['MP:0002276', 'MP:0000376', 'MP:0000376', 'MP:0002276', 'MP:0002276', 'MP:0000376', 'MP:0000376', 'MP:0002276', 'MP:0002276', 'MP:0000410']",-16
14,fa4a8ad8-c7f1-4c9f-9f28-53136de6effa,subject9,5,"['MP:0000376', 'MP:0000410', 'MP:0000091', 'MP:0002276', 'MP:0000091', 'MP:0000376', 'MP:0002276', 'MP:0000091', 'MP:0001713', 'MP:0001713']",-22
15,0ccf2d67-b4d8-46ea-8901-e8c4533cc9d4,subject9,6,"['MP:0000376', 'MP:0000091', 'MP:0001713', 'MP:0000376', 'MP:0002276', 'MP:0000410', 'MP:0001713', 'MP:0000376', 'MP:0001713', 'MP:0000376']",-26
