,rat_id,subject_id,generation,genes,fitness_score
0,e0a7a4b5-c4ec-4c87-940c-279d169d7687,subject5,1,"['MP:0000923', 'MP:0001191', 'MP:0000097', 'MP:0000923', 'MP:0000085', 'MP:0000085', 'MP:0000923', 'MP:0000923', 'MP:0000097', 'MP:0000097']",-3
1,f8e8376c-fce4-49ec-b08e-9b605d07b4cf,subject5,1,"['MP:0000085', 'MP:0000097', 'MP:0000376', 'MP:0000097', 'MP:0002276', 'MP:0000097', 'MP:0000085', 'MP:0000085', 'MP:0002638', 'MP:0000097']",-2
2,71a44205-ecca-49ed-9ade-be48874aa652,subject5,1,"['MP:0000085', 'MP:0002276', 'MP:0000085', 'MP:0002638', 'MP:0000097', 'MP:0001191', 'MP:0000097', 'MP:0000085', 'MP:0000097', 'MP:0000091']",-1
3,26db4c0e-90df-4526-befb-2d091fd6e5e3,subject5,2,"['MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000085', 'MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0000097']",-2
4,b316bd3c-c7c6-41b9-add7-356e87b23794,subject5,2,"['MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0001191', 'MP:0000097', 'MP:0000097']",-1
5,6f086a69-7362-4822-91cd-567994205ec2,subject5,2,"['MP:0001191', 'MP:0000085', 'MP:0000923', 'MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0002638', 'MP:0000097', 'MP:0000097', 'MP:0000085']",-1
6,1da673ce-1279-4778-b07d-d688f405c1c8,subject5,3,"['MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097']",-1
7,c094e9a3-4c98-41b3-a606-dc7f3454aebe,subject5,3,"['MP:0000085', 'MP:0001191', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000085', 'MP:0000085', 'MP:0000097', 'MP:0000097', 'MP:0000097']",0
8,8213f302-2a9d-4105-8162-f35d7ea4b31a,subject5,3,"['MP:0000085', 'MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0001191', 'MP:0000097', 'MP:0000097']",-1
9,7807dd9c-ad37-4738-829d-005f5e7934b7,subject5,4,"['MP:0000097', 'MP:0000923', 'MP:0000085', 'MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0000097']",-3
10,a4cfa751-3ca7-4fd4-b805-8482f90a7415,subject5,4,"['MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000923', 'MP:0000097', 'MP:0000097']",-2
11,75b6feda-11dc-413a-87d0-61fd2ba45538,subject5,4,"['MP:0000923', 'MP:0001191', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000097']",-5
12,5b3db571-6d1d-4145-8c4d-bc4e19d97429,subject5,5,"['MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000097']",-4
13,75446757-b7b1-4b23-a8f8-7ec8a49962b3,subject5,5,"['MP:0000097', 'MP:0000085', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000097', 'MP:0000097']",-4
14,82eadc7a-4a09-4be7-9ee6-a78f188cefb4,subject5,5,"['MP:0000923', 'MP:0000097', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097']",-5
15,0c74b7df-79cd-4027-8f09-5570d5b025e5,subject5,6,"['MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000923', 'MP:0000097', 'MP:0000923', 'MP:0000097']",-4
16,a1f0e388-bb2b-4031-a86c-dc7e5d2a5503,subject5,6,"['MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000923']",-4
17,73b89aa2-91e2-4456-87e1-0a945905a110,subject5,6,"['MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0000923', 'MP:0000097', 'MP:0000097']",-3
18,e03a43b4-494d-458f-ab9c-69697b8b1c70,subject5,7,"['MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000923', 'MP:0000923', 'MP:0000097', 'MP:0000923', 'MP:0000097']",-3
